"panel","pair","mean_log_eta","var_log_eta","n_cells","intercept_se","slope_se","r_squared"
"real","AUS_SOM",-0.302999932367416,1.69882044688696,31,NA,NA,NA
"real","AUS_STP",-1.32708625900646,4.99265966886518,25,NA,NA,NA
"real","AUS_SWE",-0.0734983466057623,0.0679413821076159,32,NA,NA,NA
"real","AUS_SYC",0.128530683271203,0.341214609897663,32,NA,NA,NA
"real","AUS_SYR",-1.16146164476536,1.75890342518272,32,NA,NA,NA
"real","AUS_TCD",-0.834997766965873,1.9949304708511,32,NA,NA,NA
"real","AUS_TGO",-0.732281860366759,1.38651843938806,32,NA,NA,NA
"real","AUS_THA",-0.0292609186200938,0.0145164845851699,16,NA,NA,NA
"real","AUS_TTO",0.115493833407487,0.580650398264087,32,NA,NA,NA
"real","AUS_TUN",0.01338577944998,0.622701069487518,32,NA,NA,NA
"real","AUS_TUR",0.107052353341258,0.251923604420906,32,NA,NA,NA
"real","AUS_TWN",0.0406484696689774,0.0343205657996243,32,NA,NA,NA
"real","AUS_TZA",-0.250046599254127,1.02086936577899,32,NA,NA,NA
"real","AUS_UGA",-0.250599378823403,1.32779242175351,32,NA,NA,NA
"real","AUS_URY",0.07971340929363,0.57297097402507,32,NA,NA,NA
"real","AUS_USA",0.0310890998810622,0.040892115540074,16,NA,NA,NA
"real","AUS_VCT",-0.539346820144673,1.30387997474992,31,NA,NA,NA
"real","AUS_VEN",0.0289152663457387,0.742016345089573,32,NA,NA,NA
"real","AUS_VNM",0.0414934445179708,0.141075286865309,21,NA,NA,NA
"real","AUS_YEM",-0.728360565218852,1.33515414645088,31,NA,NA,NA
"real","AUS_ZAF",0.239874164901183,0.321512248997941,32,NA,NA,NA
"real","AUS_ZMB",-0.751538397310698,1.01976699695634,32,NA,NA,NA
"real","AUS_ZWE",-0.177655574950384,0.910265423515426,32,NA,NA,NA
"real","AUT_ALB",-0.867823902532028,2.22337467651175,17,NA,NA,NA
"real","AUT_ARE",-0.535995334942797,2.26279446657251,32,NA,NA,NA
"real","AUT_ARG",-0.733108124547953,4.55153289715521,31,NA,NA,NA
"real","AUT_AUS",0.0778585163641983,0.0558161724021989,32,NA,NA,NA
"real","AUT_BRA",-0.247070791490522,1.18673575617389,32,NA,NA,NA
"real","AUT_CAN",-0.0829750512453153,0.704200459801961,28,NA,NA,NA
"real","AUT_CHL",-0.659295581322822,3.5607828297447,14,NA,NA,NA
"real","AUT_CHN",-0.74549431014772,5.11324521014828,32,NA,NA,NA
"real","AUT_COL",-0.375578725791466,1.09782546578867,24,NA,NA,NA
"real","AUT_CPV",-0.249295352496165,1.13199740887876,28,NA,NA,NA
"real","AUT_ECU",-0.175658659840622,0.848242236843039,28,NA,NA,NA
"real","AUT_FJI",-0.400588121399483,2.5165227527933,15,NA,NA,NA
"real","AUT_IDN",-0.0385459207809154,1.40695791455781,32,NA,NA,NA
"real","AUT_IND",0.12898636150512,0.163248972942203,32,NA,NA,NA
"real","AUT_IRN",-0.998846195242693,7.40567106443212,31,NA,NA,NA
"real","AUT_JOR",-2.22418601894578,8.48025054483112,13,NA,NA,NA
"real","AUT_JPN",0.0806051045487318,0.0692865167956555,30,NA,NA,NA
"real","AUT_KOR",0.130070292110504,0.167675465331457,22,NA,NA,NA
"real","AUT_LBY",-0.270435379535279,1.4416118362576,31,NA,NA,NA
"real","AUT_MYS",-0.276642908492414,0.677597932956079,32,NA,NA,NA
"real","AUT_NZL",-0.209789353219579,0.65007412467122,32,NA,NA,NA
"real","AUT_OMN",0.0222130469962423,0.511081591642636,32,NA,NA,NA
